Carrera,Puntaje,Universidad
ARQUITECTURA, 731 ,Universidad de chile
DISEÑO, 698 ,Universidad de chile
GEOGRAFÍA, 625 ,Universidad de chile
ACTUACIÓN TEATRAL, 718 ,Universidad de chile
ARTES VISUALES, 710 ,Universidad de chile
DANZA, 766 ,Universidad de chile
DISEÑO TEATRAL, 663 ,Universidad de chile
INGENIERÍA EN SONIDO, 782 ,Universidad de chile
TEORÍA DE LA MÚSICA, 697 ,Universidad de chile
TEORÍA E HISTORIA DEL ARTE, 668 ,Universidad de chile
BIOLOGÍA CON MENCIÓN EN MEDIO AMBIENTE, 739 ,Universidad de chile
INGENIERÍA EN BIOTECNOLOGÍA MOLECULAR, 832 ,Universidad de chile
LIC. EN CIENCIAS MENCIÓN BIOLOGÍA, 733 ,Universidad de chile
LIC. EN CIENCIAS MENCIÓN FÍSICA, 771 ,Universidad de chile
LIC. EN CIENCIAS MENCIÓN MATEMÁTICAS, 653 ,Universidad de chile
LIC. EN CIENCIAS MENCIÓN QUÍMICA, 488 ,Universidad de chile
PEDAGOGÍA EN ED. MEDIA EN BIOLOGÍA Y QUÍMICA, 575 ,Universidad de chile
PEDAGOGÍA EN ED. MEDIA EN MATEMÁTICAS Y FÍSICA, 557,Universidad de chile
QUÍMICA AMBIENTAL, 581 ,Universidad de chile
INGENIERÍA AGRONÓMICA, 611 ,Universidad de chile
INGENIERÍA EN RECURSOS NATURALES RENOVABLES, 635 ,Universidad de chile
INGENIERÍA Y CIENCIAS - PLAN COMÚN, 819 ,Universidad de chile
INGENIERÍA EN RECURSOS HÍDRICOS, 464 ,Universidad de chile
INGENIERÍA FORESTAL, 573 ,Universidad de chile
BIOQUÍMICA, 778 ,Universidad de chile
INGENIERÍA EN ALIMENTOS, 561 ,Universidad de chile
QUÍMICA, 615 ,Universidad de chile
QUÍMICA Y FARMACIA, 733 ,Universidad de chile
ANTROPOLOGÍA-ARQUEOLOGÍA, 761 ,Universidad de chile
PEDAGOGÍA EN EDUCACIÓN PARVULARIA, 650 ,Universidad de chile
PSICOLOGÍA, 865 ,Universidad de chile
SOCIOLOGÍA, 740 ,Universidad de chile
TRABAJO SOCIAL, 713 ,Universidad de chile
MEDICINA VETERINARIA, 725 ,Universidad de chile
CINE Y TELEVISIÓN, 750 ,Universidad de chile
PERIODISMO, 748 ,Universidad de chile
DERECHO, 830 ,Universidad de chile
